Births(Count) by Mother's Age by Mother's Education Level by County of Residence (Mother),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inter-pregnancy interval=< 6 months 6-11 months 12-17 months 18-23 months 24-35 months 36+ months and Year of Birth=2012 and Births=Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,births,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,14,,15,,,16,,,,17,,,,,,18,,,,,,,19,,,,,,,20,,,,,,,,21,,,,,,,,,22,,,,,,,,,,23,,,,,,,,,,24,,,,,,,,,,25,,,,,,,,,,26,,,,,,,,,,27,,,,,,,,,,28,,,,,,,,,,29,,,,,,,,,,30,,,,,,,,,,31,,,,,,,,,,32,,,,,,,,,,33,,,,,,,,,,34,,,,,,,,,,35,,,,,,,,,,36,,,,,,,,,,37,,,,,,,,,,38,,,,,,,,,,39,,,,,,,,,,40,,,,,,,,,,41,,,,,,,,,,42,,,,,,,,,,43,,,,,,,,,,44,,,,,,,,,,45,,,,,,,,,46,,,,,,,,,47,,,,,,,,,48,,,,,,,,49,,,,,,,50,,,,,54,,999,,,,Total
,8th grade or less,Total,9th-12th grade no diploma,Total,8th grade or less,9th-12th grade no diploma,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Unknown,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Total,8th grade or less,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Total,9th-12th grade no diploma,HS Graduate or GED,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Total,9th-12th grade no diploma,Some college but no degree,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Total,Associate's Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,Total,Doctorate Degree,Total,8th grade or less,Associate's Degree,Bachelor's Degree,Total,
Alachua,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5,1,7,8,0,0,0,16,0,10,6,12,0,0,28,0,11,19,13,0,0,0,43,1,9,18,17,2,0,0,0,47,0,26,35,17,3,1,0,0,0,82,1,13,27,22,7,4,0,0,0,74,1,13,23,18,2,7,1,0,0,65,2,8,32,28,6,7,3,1,0,87,2,12,27,22,14,12,3,0,0,92,0,8,27,28,11,21,6,1,0,102,2,8,17,26,15,24,8,5,0,105,1,12,13,23,10,28,7,6,0,100,1,8,14,26,25,25,16,4,1,120,1,5,14,21,16,32,17,7,1,114,0,2,9,23,10,31,17,8,0,100,2,0,6,14,18,17,19,11,0,87,2,4,12,13,8,27,24,12,0,102,1,4,2,10,5,30,9,14,0,75,0,2,4,8,5,20,13,9,0,61,0,1,7,6,2,15,4,8,1,44,1,5,5,2,1,12,5,4,0,35,0,0,2,6,2,7,5,2,0,24,0,1,2,0,2,10,2,4,0,21,0,0,3,3,1,3,4,1,0,15,0,0,0,2,3,0,0,2,0,7,0,0,0,2,0,0,3,0,0,5,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1660
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,7,1,1,2,1,0,0,5,0,5,7,2,0,0,0,14,0,3,6,1,0,0,0,0,10,0,1,3,1,2,0,0,0,0,7,1,1,6,4,1,0,0,0,0,13,0,2,11,3,0,2,0,0,0,18,0,5,3,2,2,1,0,1,0,14,0,3,2,6,3,3,0,0,0,17,0,1,4,8,2,1,0,0,0,16,0,3,6,3,3,4,1,0,0,20,2,0,6,2,3,1,0,0,0,14,0,1,3,0,0,0,2,0,0,6,0,0,1,1,1,0,0,0,0,3,2,1,4,3,0,2,0,0,0,12,0,0,1,2,0,2,0,0,0,5,0,0,1,5,0,2,0,0,0,8,0,0,2,1,0,1,1,0,0,5,0,0,0,3,3,0,0,0,0,6,0,0,2,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
Bay,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,3,2,5,6,0,0,0,13,2,12,17,0,1,1,33,3,23,14,5,0,0,2,47,2,17,39,24,2,0,0,2,86,8,20,26,17,5,2,0,0,0,78,2,16,41,20,4,5,0,0,2,90,2,20,21,28,7,2,0,0,1,81,0,17,33,16,13,5,1,0,1,86,3,9,29,38,8,5,2,0,0,94,0,17,36,37,7,8,2,0,0,107,1,5,24,18,8,15,3,0,2,76,0,2,12,28,7,15,3,1,1,69,0,6,22,22,9,17,3,1,2,82,1,8,24,19,6,9,8,0,4,79,1,5,18,20,8,13,8,2,1,76,1,2,11,10,7,11,3,3,2,50,1,2,10,10,1,8,4,0,0,36,0,1,12,10,3,4,3,0,1,34,0,0,8,7,4,7,1,0,1,28,0,1,4,6,3,7,3,0,2,26,1,0,6,4,0,5,3,0,1,20,0,1,4,5,0,2,1,2,0,15,0,0,0,3,1,4,3,0,0,11,0,0,2,0,0,0,0,1,2,5,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,3,0,2,1,0,0,0,3,0,1,3,2,0,0,0,6,0,3,6,1,0,0,0,0,10,0,3,7,3,2,0,0,0,0,15,0,2,11,2,1,0,0,0,0,16,0,5,9,2,2,1,0,0,0,19,0,1,9,5,1,1,0,0,0,17,0,1,5,3,3,1,0,0,0,13,0,1,5,3,2,0,0,0,0,11,0,1,3,2,2,3,0,0,0,11,0,1,6,3,2,1,0,0,0,13,0,1,6,0,3,2,1,0,0,13,0,0,3,3,2,2,1,0,0,11,0,1,2,5,0,1,0,0,0,9,0,0,5,0,2,0,0,0,0,7,0,0,2,2,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
Brevard,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,0,6,1,10,8,1,0,0,20,1,15,16,5,0,0,37,3,11,30,11,1,0,0,56,2,20,33,39,6,0,0,0,100,6,22,49,30,11,1,0,0,1,120,4,25,58,51,8,2,0,0,0,148,4,16,52,46,18,10,0,0,1,147,2,19,47,48,20,11,1,0,1,149,3,19,53,71,17,27,3,0,0,193,3,19,46,47,30,35,5,0,0,185,4,13,43,44,35,28,9,0,1,177,4,13,51,51,35,49,8,1,0,212,1,14,43,59,34,53,16,3,0,223,5,8,32,49,38,47,25,2,0,206,2,8,13,36,42,36,18,1,0,156,0,10,47,24,23,33,15,6,0,158,3,7,13,24,23,29,22,4,1,126,4,7,16,20,20,19,13,3,1,103,0,3,13,16,17,21,11,2,0,83,5,3,15,19,18,24,12,3,0,99,0,4,11,15,8,10,4,3,1,56,0,2,7,13,8,11,5,2,0,48,0,3,5,7,10,15,7,2,0,49,2,2,3,10,0,6,6,1,0,30,0,0,5,1,2,3,4,0,0,15,0,0,1,2,0,4,1,0,0,8,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920
Broward,0,0,0,0,0,1,1,1,6,0,7,2,10,3,0,0,15,5,28,20,2,1,0,56,3,52,48,16,1,1,121,4,78,80,37,6,1,1,207,11,61,140,59,14,1,0,2,288,11,63,163,80,19,2,1,0,1,340,9,79,170,120,31,13,0,0,1,423,16,67,175,104,48,27,2,0,2,441,22,42,219,144,51,42,10,1,4,535,13,63,187,145,63,63,8,3,6,551,20,56,220,144,69,79,22,3,4,617,16,65,202,142,86,115,31,6,4,667,19,52,213,168,82,144,56,15,3,752,17,66,192,145,100,160,57,6,10,753,20,47,184,143,95,190,64,16,8,767,23,50,207,137,93,191,73,20,3,797,14,43,154,132,83,193,99,24,3,745,13,33,139,113,70,164,106,21,3,662,9,30,132,121,65,136,75,18,2,588,6,32,112,101,58,148,71,20,10,558,13,29,90,90,47,128,61,15,0,473,6,22,63,54,53,95,51,18,1,363,6,19,65,45,22,79,32,6,2,276,2,10,51,42,24,61,23,11,0,224,2,11,42,21,16,46,15,7,1,161,1,6,23,18,11,23,21,6,1,110,4,3,9,9,7,11,5,2,3,53,0,5,6,7,5,11,5,1,1,41,0,1,2,0,2,5,3,1,14,0,0,1,2,1,5,4,0,13,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,3,0,0,0,0,0,0,11626
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0,3,0,1,2,1,0,0,0,4,0,3,5,2,0,0,0,0,10,1,1,1,2,1,0,0,0,0,6,0,1,1,3,0,0,0,0,0,5,0,2,3,2,1,0,0,0,0,8,0,1,4,0,0,0,0,0,0,5,0,0,2,1,1,1,0,0,0,5,1,2,2,1,0,2,0,0,0,8,1,0,2,1,0,0,0,0,0,4,0,0,1,1,1,2,0,0,0,5,0,0,1,0,1,2,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,3,0,5,7,0,0,0,12,0,5,6,4,0,0,0,15,0,5,12,6,0,0,0,0,23,1,8,17,6,0,0,0,0,0,32,0,5,20,7,1,1,0,0,0,34,1,6,17,10,1,0,0,0,2,37,1,6,16,11,7,1,1,0,0,43,2,1,19,18,5,0,1,0,0,46,1,3,12,8,3,4,1,0,1,33,1,4,12,10,7,6,1,0,0,41,0,3,12,10,1,2,2,0,0,30,1,1,9,11,6,8,3,0,0,39,0,3,8,8,5,12,0,0,0,36,1,3,8,6,3,5,0,1,0,27,2,3,4,2,3,4,2,0,0,20,0,1,7,4,6,2,2,0,0,22,1,0,8,3,2,4,0,0,1,19,0,0,5,2,5,3,3,0,0,18,0,1,4,3,2,2,1,0,0,13,1,1,6,3,2,2,1,0,0,16,0,1,5,3,0,1,1,0,0,11,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581
